Date,Close,sma50,sma200,atr14,chop14,adx14,macd,signal,macd_hist,rsi14,regime,macd_cross,rsi_zone,div,month_so_far_pct,ytd_pct,ret_1y_pct,off_ath_pct,scenario,action,sig,Event
2015-02-02,8278.29,,,119.00,74.02,12.83,-7.17,-2.38,-4.78,61.16,CHOP,,NEUTRAL,,0.00,,,-1.41,WARMUP,NO-DATA,0,
2015-02-03,8319.69,,,116.55,71.71,12.19,-2.42,-2.39,-0.03,62.50,CHOP,,NEUTRAL,,0.50,,,-0.91,WARMUP,NO-DATA,0,
2015-02-04,8158.21,,,121.26,72.62,12.65,-11.55,-4.22,-7.33,54.59,CHOP,,NEUTRAL,,-1.45,,,-2.84,WARMUP,NO-DATA,0,
2015-02-05,8238.51,,,123.92,73.29,12.02,-12.16,-5.81,-6.35,57.47,CHOP,,NEUTRAL,,-0.48,,,-1.88,WARMUP,NO-DATA,0,
2015-02-06,8200.17,,,120.55,72.38,11.68,-15.57,-7.76,-7.81,55.66,CHOP,,NEUTRAL,,-0.94,,,-2.34,WARMUP,NO-DATA,0,
2015-02-09,8262.09,,,117.87,71.31,11.10,-13.12,-8.83,-4.28,57.97,CHOP,,NEUTRAL,,-0.20,,,-1.60,WARMUP,NO-DATA,0,
2015-02-10,8247.96,,,119.75,72.19,11.19,-12.17,-9.50,-2.67,57.24,CHOP,,NEUTRAL,,-0.37,,,-1.77,WARMUP,NO-DATA,0,
2015-02-11,8268.76,,,116.63,72.51,11.10,-9.64,-9.53,-0.11,58.08,CHOP,,NEUTRAL,,-0.12,,,-1.52,WARMUP,NO-DATA,0,
2015-02-12,8297.62,,,115.53,69.99,10.49,-5.24,-8.67,3.43,59.27,CHOP,CROSS_UP,NEUTRAL,,0.23,,,-1.18,WARMUP,NO-DATA,0,
2015-02-13,8154.65,,,125.72,63.89,11.21,-13.14,-9.56,-3.57,51.45,CHOP,CROSS_DOWN,NEUTRAL,,-1.49,,,-2.88,WARMUP,NO-DATA,0,
2015-02-16,8207.22,,,121.70,63.96,11.64,-14.98,-10.65,-4.34,53.86,CHOP,,NEUTRAL,,-0.86,,,-2.25,WARMUP,NO-DATA,0,
2015-02-17,8248.24,,,120.29,64.61,11.34,-12.99,-11.12,-1.87,55.71,CHOP,,NEUTRAL,,-0.36,,,-1.76,WARMUP,NO-DATA,0,
2015-02-18,8345.06,,,122.01,59.83,10.59,-3.55,-9.60,6.05,59.80,CHOP,CROSS_UP,NEUTRAL,,0.81,,,-0.61,WARMUP,NO-DATA,0,
2015-02-19,8160.84,,,131.73,62.27,11.14,-10.81,-9.84,-0.97,50.28,CHOP,CROSS_DOWN,NEUTRAL,,-1.42,,,-2.80,WARMUP,NO-DATA,0,
2015-02-20,8253.32,,,130.44,62.80,11.01,-9.00,-9.68,0.68,54.22,CHOP,CROSS_UP,NEUTRAL,,-0.30,,,-1.70,WARMUP,NO-DATA,0,
2015-02-23,8151.54,,,130.01,63.60,11.27,-15.60,-10.86,-4.74,49.56,CHOP,CROSS_DOWN,NEUTRAL,,-1.53,,,-2.92,WARMUP,NO-DATA,0,
2015-02-24,8260.55,,,131.51,62.96,10.74,-11.89,-11.07,-0.83,54.11,CHOP,,NEUTRAL,,-0.21,,,-1.62,WARMUP,NO-DATA,0,
2015-02-25,8189.79,,,131.50,62.41,10.71,-14.50,-11.75,-2.75,50.90,CHOP,,NEUTRAL,,-1.07,,,-2.46,WARMUP,NO-DATA,0,
2015-02-26,8279.26,,,132.55,63.82,10.38,-9.24,-11.25,2.01,54.57,CHOP,CROSS_UP,NEUTRAL,,0.01,,,-1.39,WARMUP,NO-DATA,0,
2015-02-27,8181.08,,,132.13,64.68,10.51,-12.85,-11.57,-1.28,50.14,CHOP,CROSS_DOWN,NEUTRAL,,-1.17,,,-2.56,WARMUP,NO-DATA,0,
2015-03-02,8357.50,,,136.77,65.69,9.79,-1.45,-9.55,8.10,56.91,CHOP,CROSS_UP,NEUTRAL,,0.00,,,-0.46,WARMUP,NO-DATA,0,
2015-03-03,8177.99,,,141.60,68.05,9.92,-6.83,-9.00,2.18,49.54,CHOP,,NEUTRAL,,-2.15,,,-2.60,WARMUP,NO-DATA,0,
2015-03-04,8285.32,,,139.79,68.31,9.42,-2.40,-7.68,5.28,53.42,CHOP,,NEUTRAL,,-0.86,,,-1.32,WARMUP,NO-DATA,0,
2015-03-05,8409.10,,,141.50,65.66,9.36,10.97,-3.95,14.92,57.48,CHOP,,NEUTRAL,BEAR_DIV,0.62,,,0.00,WARMUP,NO-DATA,0,
2015-03-06,8260.91,,,145.10,67.86,8.84,9.50,-1.26,10.76,51.68,CHOP,,NEUTRAL,,-1.16,,,-1.76,WARMUP,NO-DATA,0,
2015-03-09,8221.78,,,144.23,68.40,8.74,5.12,0.02,5.10,50.23,CHOP,,NEUTRAL,,-1.62,,,-2.23,WARMUP,NO-DATA,0,
2015-03-10,8282.07,,,140.29,67.44,8.48,6.44,1.30,5.14,52.44,CHOP,,NEUTRAL,,-0.90,,,-1.51,WARMUP,NO-DATA,0,
2015-03-11,8250.21,8260.32,,135.11,68.58,8.24,4.85,2.01,2.84,51.15,CHOP,,NEUTRAL,,-1.28,,,-1.89,WARMUP,NO-DATA,0,
2015-03-12,8148.80,8257.61,,135.25,67.23,8.66,-4.53,0.70,-5.23,47.17,CHOP,CROSS_DOWN,NEUTRAL,,-2.50,,,-3.10,WARMUP,NO-DATA,0,
2015-03-13,8292.47,8255.78,,141.34,69.02,8.16,-0.37,0.49,-0.86,52.77,CHOP,,NEUTRAL,,-0.78,,,-1.39,WARMUP,NO-DATA,0,
2015-03-16,8254.36,8254.24,,148.17,64.55,8.36,-0.15,0.36,-0.51,51.22,CHOP,,NEUTRAL,,-1.23,,,-1.84,WARMUP,NO-DATA,0,
2015-03-17,8294.39,8255.15,,144.48,63.93,8.20,3.22,0.93,2.29,52.79,CHOP,CROSS_UP,NEUTRAL,,-0.76,,,-1.36,WARMUP,NO-DATA,0,
2015-03-18,8268.76,8255.69,,138.92,62.48,8.07,3.78,1.50,2.28,51.64,CHOP,,NEUTRAL,,-1.06,,,-1.67,WARMUP,NO-DATA,0,
2015-03-19,8223.38,8256.47,,144.91,64.22,8.57,0.56,1.31,-0.76,49.59,CHOP,CROSS_DOWN,NEUTRAL,,-1.60,,,-2.21,WARMUP,NO-DATA,0,
2015-03-20,8111.13,8255.04,,146.94,63.28,9.38,-10.93,-1.14,-9.80,44.84,CHOP,,NEUTRAL,,-2.95,,,-3.54,WARMUP,NO-DATA,0,
2015-03-23,8143.75,8251.92,,142.48,61.08,9.82,-17.21,-4.35,-12.86,46.45,CHOP,,NEUTRAL,,-2.56,,,-3.16,WARMUP,NO-DATA,0,
2015-03-24,8227.94,8248.56,,141.62,61.34,9.67,-15.21,-6.52,-8.69,50.45,CHOP,,NEUTRAL,,-1.55,,,-2.15,WARMUP,NO-DATA,0,
2015-03-25,8254.51,8249.80,,141.16,69.25,8.99,-11.35,-7.49,-3.86,51.68,CHOP,,NEUTRAL,,-1.23,,,-1.84,WARMUP,NO-DATA,0,
2015-03-26,8268.00,8249.46,,135.48,66.68,8.36,-7.12,-7.41,0.29,52.33,CHOP,CROSS_UP,NEUTRAL,,-1.07,,,-1.68,WARMUP,NO-DATA,0,
2015-03-27,8268.01,8249.80,,132.42,65.85,7.88,-3.73,-6.68,2.95,52.33,CHOP,,NEUTRAL,,-1.07,,,-1.68,WARMUP,NO-DATA,0,
2015-03-30,8165.67,8246.34,,132.27,66.70,7.87,-9.19,-7.18,-2.01,46.82,CHOP,CROSS_DOWN,NEUTRAL,,-2.30,,,-2.89,WARMUP,NO-DATA,0,
2015-03-31,8267.98,8246.86,,138.25,68.18,7.54,-5.20,-6.78,1.58,52.23,CHOP,CROSS_UP,NEUTRAL,,-1.07,,,-1.68,WARMUP,NO-DATA,0,
2015-04-01,8175.06,8243.79,,138.07,68.16,7.25,-9.43,-7.31,-2.12,47.50,CHOP,CROSS_DOWN,NEUTRAL,,0.00,,,-2.78,WARMUP,NO-DATA,0,
2015-04-02,8256.85,8242.32,,137.93,66.52,6.91,-6.12,-7.07,0.96,51.65,CHOP,CROSS_UP,NEUTRAL,,1.00,,,-1.81,WARMUP,NO-DATA,0,
2015-04-03,8137.90,8241.35,,141.50,65.54,6.98,-12.93,-8.25,-4.69,45.96,CHOP,CROSS_DOWN,NEUTRAL,,-0.45,,,-3.23,WARMUP,NO-DATA,0,
2015-04-06,8108.72,8236.95,,136.05,64.90,7.04,-20.46,-10.69,-9.77,44.66,CHOP,,NEUTRAL,,-0.81,,,-3.57,WARMUP,NO-DATA,0,
2015-04-07,8107.50,8231.83,,131.57,65.04,7.01,-26.22,-13.79,-12.42,44.61,CHOP,,NEUTRAL,,-0.83,,,-3.59,WARMUP,NO-DATA,0,
2015-04-08,8231.17,8230.15,,132.30,63.34,6.60,-20.56,-15.15,-5.42,51.36,CHOP,,NEUTRAL,,0.69,,,-2.12,WARMUP,NO-DATA,0,
2015-04-09,8174.72,8231.07,,129.78,63.88,6.45,-20.40,-16.20,-4.20,48.46,CHOP,,NEUTRAL,,-0.00,,,-2.79,WARMUP,NO-DATA,0,
2015-04-10,8117.95,8228.93,,135.88,60.67,7.07,-24.57,-17.87,-6.70,45.66,CHOP,,NEUTRAL,,-0.70,,,-3.46,WARMUP,NO-DATA,0,
2015-04-13,8235.15,8228.07,,136.13,60.85,7.43,-18.21,-17.94,-0.27,51.84,CHOP,,NEUTRAL,,0.74,,,-2.07,WARMUP,NO-DATA,0,
2015-04-14,8163.39,8224.95,,135.09,60.57,8.26,-18.75,-18.10,-0.64,48.22,CHOP,,NEUTRAL,,-0.14,,,-2.92,WARMUP,NO-DATA,0,
2015-04-15,8149.43,8224.77,,130.82,60.85,9.03,-20.06,-18.50,-1.57,47.53,CHOP,,NEUTRAL,,-0.31,,,-3.09,WARMUP,NO-DATA,0,
2015-04-16,8235.27,8224.71,,131.12,61.72,9.01,-14.02,-17.60,3.58,52.10,CHOP,CROSS_UP,NEUTRAL,,0.74,,,-2.07,WARMUP,NO-DATA,0,
2015-04-17,8233.15,8225.37,,125.43,60.09,9.00,-9.29,-15.94,6.65,51.98,CHOP,,NEUTRAL,,0.71,,,-2.09,WARMUP,NO-DATA,0,
2015-04-20,8151.81,8223.16,,123.57,65.63,9.59,-11.97,-15.15,3.17,47.45,CHOP,,NEUTRAL,,-0.28,,,-3.06,WARMUP,NO-DATA,0,
2015-04-21,8261.70,8223.43,,126.11,66.16,9.08,-5.17,-13.15,7.98,53.36,CHOP,,NEUTRAL,,1.06,,,-1.75,WARMUP,NO-DATA,0,
2015-04-22,8190.23,8221.86,,123.88,65.25,8.94,-5.48,-11.62,6.13,49.46,CHOP,,NEUTRAL,,0.19,,,-2.60,WARMUP,NO-DATA,0,
2015-04-23,8179.48,8219.50,,118.84,62.04,9.02,-6.52,-10.60,4.08,48.88,CHOP,,NEUTRAL,,0.05,,,-2.73,WARMUP,NO-DATA,0,
2015-04-24,8324.19,8222.89,,124.88,57.09,9.09,4.28,-7.62,11.90,56.29,CHOP,,NEUTRAL,,1.82,,,-1.01,WARMUP,NO-DATA,0,
2015-04-27,8236.41,8223.48,,125.03,58.30,8.72,5.69,-4.96,10.65,51.42,CHOP,,NEUTRAL,,0.75,,,-2.05,WARMUP,NO-DATA,0,
2015-04-28,8124.97,8221.01,,127.00,58.54,8.61,-2.15,-4.40,2.24,45.99,CHOP,,NEUTRAL,,-0.61,,,-3.38,WARMUP,NO-DATA,0,
2015-04-29,8173.23,8217.57,,124.85,58.53,8.05,-4.43,-4.40,-0.02,48.52,CHOP,CROSS_DOWN,NEUTRAL,,-0.02,,,-2.80,WARMUP,NO-DATA,0,
2015-04-30,8145.10,8217.26,,120.82,63.03,7.59,-8.40,-5.20,-3.20,47.13,CHOP,,NEUTRAL,,-0.37,,,-3.14,WARMUP,NO-DATA,0,
2015-05-01,8147.96,8215.15,,117.11,61.30,7.27,-11.19,-6.40,-4.79,47.30,CHOP,,NEUTRAL,,0.00,,,-3.11,WARMUP,NO-DATA,0,
2015-05-04,8086.48,8213.85,,114.45,58.29,7.28,-18.16,-8.75,-9.40,44.10,CHOP,,NEUTRAL,,-0.75,,,-3.84,WARMUP,NO-DATA,0,
2015-05-05,8274.23,8214.12,,123.32,62.29,7.64,-8.43,-8.69,0.26,54.26,CHOP,CROSS_UP,NEUTRAL,,1.55,,,-1.60,WARMUP,NO-DATA,0,
2015-05-06,8111.28,8212.55,,127.74,63.44,7.39,-13.71,-9.69,-4.02,46.38,CHOP,CROSS_DOWN,NEUTRAL,,-0.45,,,-3.54,WARMUP,NO-DATA,0,
2015-05-07,8121.89,8209.41,,126.91,61.54,7.46,-16.84,-11.12,-5.72,46.92,CHOP,,NEUTRAL,,-0.32,,,-3.42,WARMUP,NO-DATA,0,
2015-05-08,8201.42,8209.81,,126.54,62.03,6.93,-12.76,-11.45,-1.31,50.92,CHOP,,NEUTRAL,,0.66,,,-2.47,WARMUP,NO-DATA,0,
2015-05-11,8173.39,8206.13,,122.79,60.16,6.73,-11.66,-11.49,-0.17,49.50,CHOP,,NEUTRAL,,0.31,,,-2.80,WARMUP,NO-DATA,0,
2015-05-12,8204.27,8206.66,,123.67,61.05,6.61,-8.19,-10.83,2.64,51.11,CHOP,CROSS_UP,NEUTRAL,,0.69,,,-2.44,WARMUP,NO-DATA,0,
2015-05-13,8120.70,8203.36,,122.03,62.08,6.18,-12.05,-11.08,-0.98,46.77,CHOP,CROSS_DOWN,NEUTRAL,,-0.33,,,-3.43,WARMUP,NO-DATA,0,
2015-05-14,8117.17,8197.53,,120.67,66.83,5.97,-15.22,-11.91,-3.32,46.59,CHOP,,NEUTRAL,,-0.38,,,-3.47,WARMUP,NO-DATA,0,
2015-05-15,8134.78,8195.00,,116.54,65.34,5.68,-16.13,-12.75,-3.38,47.67,CHOP,,NEUTRAL,,-0.16,,,-3.26,WARMUP,NO-DATA,0,
2015-05-18,8289.15,8196.35,,123.21,64.16,6.25,-4.34,-11.07,6.73,56.08,CHOP,CROSS_UP,NEUTRAL,,1.73,,,-1.43,WARMUP,NO-DATA,0,
2015-05-19,8197.85,8194.67,,127.94,66.21,5.90,-2.33,-9.32,6.99,50.87,CHOP,,NEUTRAL,,0.61,,,-2.51,WARMUP,NO-DATA,0,
2015-05-20,8134.21,8192.35,,130.66,68.26,5.82,-5.81,-8.62,2.81,47.56,CHOP,,NEUTRAL,,-0.17,,,-3.27,WARMUP,NO-DATA,0,
2015-05-21,8244.84,8194.27,,135.46,70.81,5.76,0.35,-6.83,7.18,53.26,CHOP,,NEUTRAL,,1.19,,,-1.95,WARMUP,NO-DATA,0,
2015-05-22,8166.21,8191.74,,134.16,71.52,5.52,-1.10,-5.68,4.58,49.17,CHOP,,NEUTRAL,,0.22,,,-2.89,WARMUP,NO-DATA,0,
2015-05-25,8151.28,8189.68,,128.09,67.79,5.36,-3.41,-5.23,1.82,48.41,CHOP,,NEUTRAL,,0.04,,,-3.07,WARMUP,NO-DATA,0,
2015-05-26,8086.30,8185.52,,129.84,64.37,5.86,-10.36,-6.25,-4.11,45.14,CHOP,CROSS_DOWN,NEUTRAL,,-0.76,,,-3.84,WARMUP,NO-DATA,0,
2015-05-27,8110.00,8182.34,,128.24,64.19,6.13,-13.81,-7.76,-6.04,46.55,CHOP,,NEUTRAL,,-0.47,,,-3.56,WARMUP,NO-DATA,0,
2015-05-28,8162.41,8181.12,,133.59,65.88,5.79,-12.16,-8.64,-3.52,49.66,CHOP,,NEUTRAL,,0.18,,,-2.93,WARMUP,NO-DATA,0,
2015-05-29,8220.54,8183.31,,132.32,66.71,5.48,-6.10,-8.14,2.03,52.92,CHOP,CROSS_UP,NEUTRAL,,0.89,,,-2.24,WARMUP,NO-DATA,0,
2015-06-01,8199.33,8184.42,,133.94,67.10,5.49,-2.97,-7.10,4.13,51.60,CHOP,,NEUTRAL,,0.00,,,-2.49,WARMUP,NO-DATA,0,
2015-06-02,8020.70,8180.28,,140.17,65.24,6.36,-14.74,-8.63,-6.11,42.12,CHOP,CROSS_DOWN,NEUTRAL,,-2.18,,,-4.62,WARMUP,NO-DATA,0,
2015-06-03,8157.69,8178.34,,146.22,67.43,6.08,-12.86,-9.48,-3.39,49.75,CHOP,,NEUTRAL,,-0.51,,,-2.99,WARMUP,NO-DATA,0,
2015-06-04,8148.38,8175.95,,141.28,67.67,5.83,-11.99,-9.98,-2.01,49.27,CHOP,,NEUTRAL,,-0.62,,,-3.10,WARMUP,NO-DATA,0,
2015-06-05,8145.33,8173.50,,139.24,67.29,5.89,-11.41,-10.26,-1.14,49.11,CHOP,,NEUTRAL,,-0.66,,,-3.14,WARMUP,NO-DATA,0,
2015-06-08,8087.30,8171.93,,137.69,65.96,5.57,-15.45,-11.30,-4.15,45.94,CHOP,,NEUTRAL,,-1.37,,,-3.83,WARMUP,NO-DATA,0,
2015-06-09,8209.97,8170.77,,140.67,66.21,6.05,-8.66,-10.77,2.11,52.86,CHOP,CROSS_UP,NEUTRAL,,0.13,,,-2.37,WARMUP,NO-DATA,0,
2015-06-10,8095.18,8169.17,,142.99,72.85,5.72,-12.40,-11.10,-1.30,46.82,CHOP,CROSS_DOWN,NEUTRAL,,-1.27,,,-3.73,WARMUP,NO-DATA,0,
2015-06-11,8067.94,8165.39,,140.85,72.77,5.61,-17.36,-12.35,-5.01,45.50,CHOP,,NEUTRAL,,-1.60,,,-4.06,WARMUP,NO-DATA,0,
2015-06-12,8159.09,8165.82,,138.77,73.93,5.56,-13.77,-12.64,-1.14,50.55,CHOP,,NEUTRAL,,-0.49,,,-2.97,WARMUP,NO-DATA,0,
2015-06-15,8191.92,8167.48,,133.91,72.40,5.82,-8.19,-11.75,3.56,52.26,CHOP,CROSS_UP,NEUTRAL,,-0.09,,,-2.58,WARMUP,NO-DATA,0,
2015-06-16,7991.78,8165.17,,143.89,68.41,6.30,-19.69,-13.34,-6.35,42.57,CHOP,CROSS_DOWN,NEUTRAL,BULL_DIV,-2.53,,,-4.96,WARMUP,NO-DATA,0,
2015-06-17,8124.64,8163.04,,149.51,69.27,5.87,-17.87,-14.24,-3.63,49.29,CHOP,,NEUTRAL,,-0.91,,,-3.38,WARMUP,NO-DATA,0,
2015-06-18,8212.91,8163.80,,146.17,69.05,5.55,-9.21,-13.24,4.03,53.21,CHOP,CROSS_UP,NEUTRAL,,0.17,,,-2.33,WARMUP,NO-DATA,0,
2015-06-19,8152.39,8164.49,,145.60,68.75,5.49,-7.14,-12.02,4.88,50.34,CHOP,,NEUTRAL,,-0.57,,,-3.05,WARMUP,NO-DATA,0,
2015-06-22,8066.17,8161.11,,145.24,67.29,5.79,-12.32,-12.08,-0.24,46.49,CHOP,CROSS_DOWN,NEUTRAL,,-1.62,,,-4.08,WARMUP,NO-DATA,0,
2015-06-23,8232.04,8162.48,,148.60,66.69,5.38,-3.00,-10.26,7.26,53.81,CHOP,CROSS_UP,NEUTRAL,,0.40,,,-2.11,WARMUP,NO-DATA,0,
2015-06-24,8169.93,8162.89,,143.67,66.74,5.18,-0.62,-8.33,7.71,51.00,CHOP,,NEUTRAL,,-0.36,,,-2.84,WARMUP,NO-DATA,0,
2015-06-25,8044.02,8159.07,,149.56,68.80,6.18,-8.80,-8.43,-0.37,45.77,CHOP,CROSS_DOWN,NEUTRAL,,-1.89,,,-4.34,WARMUP,NO-DATA,0,
2015-06-26,8169.77,8157.80,,150.72,69.64,6.33,-5.07,-7.75,2.69,51.15,CHOP,CROSS_UP,NEUTRAL,,-0.36,,,-2.85,WARMUP,NO-DATA,0,
2015-06-29,8074.37,8156.25,,150.22,69.93,7.05,-9.70,-8.14,-1.56,47.32,CHOP,CROSS_DOWN,NEUTRAL,,-1.52,,,-3.98,WARMUP,NO-DATA,0,
2015-06-30,8126.45,8153.55,,144.64,68.11,7.31,-9.06,-8.33,-0.74,49.54,CHOP,,NEUTRAL,,-0.89,,,-3.36,WARMUP,NO-DATA,0,
2015-07-01,8177.98,8153.30,,140.66,67.66,7.13,-4.35,-7.53,3.18,51.71,CHOP,CROSS_UP,NEUTRAL,,0.00,,,-2.75,WARMUP,NO-DATA,0,
2015-07-02,8176.86,8153.25,,139.54,66.97,6.63,-0.70,-6.16,5.47,51.66,CHOP,,NEUTRAL,,-0.01,,,-2.76,WARMUP,NO-DATA,0,
2015-07-03,8164.24,8150.05,,139.72,68.27,6.60,1.16,-4.70,5.86,51.04,CHOP,,NEUTRAL,,-0.17,,,-2.91,WARMUP,NO-DATA,0,
2015-07-06,8127.70,8147.87,,136.08,67.69,6.57,-0.30,-3.82,3.52,49.19,CHOP,,NEUTRAL,,-0.61,,,-3.35,WARMUP,NO-DATA,0,
2015-07-07,8015.73,8145.69,,139.08,66.81,7.28,-10.38,-5.13,-5.25,43.93,CHOP,CROSS_DOWN,NEUTRAL,,-1.98,,,-4.68,WARMUP,NO-DATA,0,
2015-07-08,8125.94,8144.74,,140.60,67.95,6.91,-9.37,-5.98,-3.39,49.64,CHOP,,NEUTRAL,,-0.64,,,-3.37,WARMUP,NO-DATA,0,
2015-07-09,8084.52,8143.53,,138.52,67.42,7.02,-11.77,-7.14,-4.64,47.67,CHOP,,NEUTRAL,,-1.14,,,-3.86,WARMUP,NO-DATA,0,
2015-07-10,8214.80,8144.87,,147.23,61.54,7.15,-3.13,-6.34,3.21,53.86,CHOP,CROSS_UP,NEUTRAL,,0.45,,,-2.31,WARMUP,NO-DATA,0,
2015-07-13,8105.38,8145.25,,147.20,60.68,6.69,-5.05,-6.08,1.03,48.66,CHOP,,NEUTRAL,,-0.89,,,-3.61,WARMUP,NO-DATA,0,
2015-07-14,8107.60,8141.91,,142.79,60.79,6.49,-6.32,-6.13,-0.19,48.76,CHOP,CROSS_DOWN,NEUTRAL,,-0.86,,,-3.59,WARMUP,NO-DATA,0,
2015-07-15,8090.11,8141.49,,136.94,58.05,6.15,-8.64,-6.63,-2.01,47.91,CHOP,,NEUTRAL,,-1.07,,,-3.79,WARMUP,NO-DATA,0,
2015-07-16,8088.67,8140.83,,136.51,57.32,6.07,-10.47,-7.40,-3.07,47.83,CHOP,,NEUTRAL,,-1.09,,,-3.81,WARMUP,NO-DATA,0,
2015-07-17,8093.98,8138.68,,134.24,56.49,5.69,-11.37,-8.19,-3.17,48.15,CHOP,,NEUTRAL,,-1.03,,,-3.75,WARMUP,NO-DATA,0,
2015-07-20,8047.15,8136.15,,133.47,57.58,5.55,-15.67,-9.69,-5.98,45.50,CHOP,,NEUTRAL,,-1.60,,,-4.30,WARMUP,NO-DATA,0,
2015-07-21,8220.50,8136.48,,138.56,59.94,5.57,-5.04,-8.76,3.72,55.31,CHOP,CROSS_UP,NEUTRAL,,0.52,,,-2.24,WARMUP,NO-DATA,0,
2015-07-22,7967.38,8133.41,,150.75,59.91,6.37,-16.84,-10.38,-6.47,43.11,CHOP,CROSS_DOWN,NEUTRAL,,-2.58,,,-5.25,WARMUP,NO-DATA,0,
2015-07-23,8184.21,8134.75,,157.24,61.66,5.97,-8.60,-10.02,1.42,52.73,CHOP,CROSS_UP,NEUTRAL,,0.08,,,-2.67,WARMUP,NO-DATA,0,
2015-07-24,8256.45,8137.19,,152.40,61.67,5.92,3.72,-7.27,10.99,55.43,CHOP,,NEUTRAL,,0.96,,,-1.82,WARMUP,NO-DATA,0,
2015-07-27,8051.46,8132.43,,159.68,62.96,6.24,-3.03,-6.42,3.40,47.19,CHOP,,NEUTRAL,,-1.55,,,-4.25,WARMUP,NO-DATA,0,
